NU_ANO;CO_UF_RESIDENCIA;CO_MUNICIPIO_RESIDENCIA;NU_INSCRICAO;SG_UF_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESCOLA;IN_DEFICIENCIA_FISICA;IN_BAIXA_VISAO;IN_DEFICIENCIA_AUDITIVA;IN_CADEIRA_CANHOTO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_REDACAO;NOTA_MEDIA;Total Number of Sampling Units;Allocation Proportion;Sample Size;Actual Proportion of Total Sample Size;Probability of Selection;Sampling Weight
2015;11;1100015;150000173873;RO;Alta Floresta D'Oeste;17;F;1;0;0;0;0;537.2;629.2;582.7;499.6;1;1;440;537.74;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150000250766;RO;Alta Floresta D'Oeste;18;F;1;0;0;0;0;5.69;601.7;569.8;493.2;1;1;520;438.078;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150000494735;RO;Alta Floresta D'Oeste;25;M;1;0;0;0;0;519.1;5.89;485.6;442.1;0;1;460;382.538;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150000504451;RO;Alta Floresta D'Oeste;28;M;1;0;0;0;0;441.2;597.2;413.5;3.96;1;1;720;435.172;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150000567830;RO;Alta Floresta D'Oeste;18;M;2;0;0;0;0;519.6;6.21;519.4;453.2;1;1;600;419.682;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150000856880;RO;Alta Floresta D'Oeste;19;F;1;0;0;0;0;486.4;428.5;541.8;431.6;1;1;480;473.66;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150000972835;RO;Alta Floresta D'Oeste;19;F;2;0;0;0;0;402.6;4.44;371.2;335.2;1;1;400;302.688;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150001004025;RO;Alta Floresta D'Oeste;17;F;2;0;0;0;0;426.3;504.9;511.8;4.2;1;1;380;365.44;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150001035164;RO;Alta Floresta D'Oeste;16;F;2;0;0;0;0;396.9;570.5;483.5;411.7;1;1;480;468.52;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150001576069;RO;Alta Floresta D'Oeste;19;F;1;0;0;0;0;576.2;6.19;572.6;551.8;1;1;680;477.358;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
